code,name,sport,intensity,duration,duration_minutes,max_zone,zones,fit_file_url,description
CAe26,Cycling Aerobic 26,bike,low,420 min,420,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe26.FIT,"10 minutes Zone 1, 4 x (30 minutes Zone 2/10 minutes Zone 1) 250 minutes Zone 1"
CAe27,Cycling Aerobic 27,bike,low,240 min,240,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe27.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 3 x (4 minutes Zone 2/1 minute Zone 1) 205 minutes Zone 2"
CAe28,Cycling Aerobic 28,bike,low,260 min,260,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe28.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 3 x (5 minutes Zone 2/1 minute Zone 1) 222 minutes Zone 2"
CAe29,Cycling Aerobic 29,bike,low,280 min,280,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe29.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 3 x (6 minutes Zone 2/1 minute Zone 1) 239 minutes Zone 2"
CAe3,Cycling Aerobic 3,bike,low,110 min,110,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe3.FIT,"15 minutes Zone 1, 4 x (15 minutes Zone 2/5 minutes Zone 1) 15 minutes Zone 1"
CAe30,Cycling Aerobic 30,bike,low,300 min,300,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe30.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 3 x (7 minutes Zone 2/1 minute Zone 1) 256 minutes Zone 2"
CAe31,Cycling Aerobic 31,bike,low,320 min,320,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe31.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 3 x (8 minutes Zone 2/1 minute Zone 1) 273 minutes Zone 2"
CAe32,Cycling Aerobic 32,bike,low,340 min,340,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe32.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 3 x (9 minutes Zone 2/1 minute Zone 1) 290 minutes Zone 2"
CAe33,Cycling Aerobic 33,bike,low,360 min,360,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe33.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 3 x (10 minutes Zone 2/1 minute Zone 1) 307 minutes Zone 2"
CAe34,Cycling Aerobic 34,bike,low,330 min,330,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe34.FIT,"10 minutes Zone 1, 5 x (30 minutes Zone 2/10 minutes Zone 1) 120 minutes Zone 1"
CAe35,Cycling Aerobic 35,bike,low,210 min,210,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe35.FIT,"10 minutes Zone 1, 4 x (30 minutes Zone 2/10 minutes Zone 1) 40 minutes Zone 1"
CAe36,Cycling Aerobic 36,bike,low,150 min,150,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe36.FIT,"30 minutes Zone 1, 4 x (20 minutes Zone 2/10 minutes Zone 1)"
CAe37,Cycling Aerobic 37,bike,low,165 min,165,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe37.FIT,"30 minutes Zone 1, 4 x (20 minutes Zone 2/10 minutes Zone 1), 15 minutes Zone 1"
CAe4,Cycling Aerobic 4,bike,low,121 min,121,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe4.FIT,"20 minutes Zone 1, 3 x (20 minutes Zone 2/7 minutes Zone 1) 20 minutes Zone 1"
CAe5,Cycling Aerobic 5,bike,low,120 min,120,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe5.FIT,"10 minutes Zone 1, 5 x (15 minutes Zone 2/5 minutes Zone 1) 10 minutes Zone 1"
CAe6,Cycling Aerobic 6,bike,low,128 min,128,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe6.FIT,"10 minutes Zone 1, 4 x (20 minutes Zone 2/7 minutes Zone 1) 10 minutes Zone 1"
CAe7,Cycling Aerobic 7,bike,low,150 min,150,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe7.FIT,"12 minutes Zone 1, 4 x (25 minutes Zone 2/7 minutes Zone 1) 10 minutes Zone 1"
CAe8,Cycling Aerobic 8,bike,low,180 min,180,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe8.FIT,"10 minutes Zone 1, 4 x (30 minutes Zone 2/10 minutes Zone 1) 10 minutes Zone 1"
CAe9,Cycling Aerobic 9,bike,low,180 min,180,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CAe9.FIT,"10 minutes Zone 1, 5 x (25 minutes Zone 2/7 minutes Zone 1) 10 minutes Zone 1"
CAn1,Cycling Anaerobic 1,bike,high,60 min,60,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/bike/CAn1.FIT,"15 minutes Zone 1, 4 x (2.5 minutes Zone 4/5 minutes Zone 1) 15 minutes Zone 1"
CAn2,Cycling Anaerobic 2,bike,high,62.5 min,,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/bike/CAn2.FIT,"15 minutes Zone 1, 5 x (2.5 minutes Zone 4/5 minutes Zone 1) 10 minutes Zone 1"
CAn3,Cycling Anaerobic 3,bike,high,60 min,60,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/bike/CAn3.FIT,"10 minutes Zone 1, 6 x (2.5 minutes Zone 4/5 minutes Zone 1) 5 minutes Zone 1"
CAn4,Cycling Anaerobic 4,bike,high,90 min,90,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/bike/CAn4.FIT,"10 minutes Zone 1, 6 x (2.5 minutes Zone 4/5 minutes Zone 1) 30 minutes Zone 2, 5 minutes Zone 1"
CAn5,Cycling Anaerobic 5,bike,high,120 min,120,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/bike/CAn5.FIT,"10 minutes Zone 1, 6 x (2.5 minutes Zone 4/5 minutes Zone 1) 60 minutes Zone 2, 5 minutes Zone 1"
CAn6,Cycling Anaerobic 6,bike,high,150 min,150,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/bike/CAn6.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 6 x (2.5 minutes Zone 4/5 minutes Zone 1) 80 minutes Zone 2, 5 minutes Zone 1"
CAn7,Cycling Anaerobic 7,bike,high,92 min,92,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/bike/CAn7.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 3 x (2.5 minutes Zone 4/5 minutes Zone 1) 45 minutes Zone 2, 5 minutes Zone 1"
CAn8,Cycling Anaerobic 8,bike,high,150 min,150,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/bike/CAn8.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 4 x (2.5 minutes Zone 4/5 minutes Zone 1) 95 minutes Zone 2, 5 minutes Zone 1"
CAn9,Cycling Anaerobic 9,bike,high,60 min,60,4,Zone 1-4,https://www.8020endurance.com/wp-content/library/bike/CAn9.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 3 x (2.5 minutes Zone 4/5 minutes Zone 1) 17 minutes Zone 1"
CCI1,Cycling Cruise Intervals 1,bike,moderate,60 min,60,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI1.FIT,"5 minutes Zone 1, 20 minutes Zone 2, 3 x (5 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 6 minutes Zone 1"
CCI10,Cycling Cruise Intervals 10,bike,moderate,119 min,119,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI10.FIT,"10 minutes Zone 1, 15 minutes Zone 2, 4 x (8 minutes Zone 3/3 minutes Zone 1) 40 minutes Zone 2, 10 minutes Zone 1"
CCI11,Cycling Cruise Intervals 11,bike,moderate,150 min,150,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI11.FIT,"10 minutes Zone 1, 15 minutes Zone 2, 4 x (8 minutes Zone 3/3 minutes Zone 1) 71 minutes Zone 2, 10 minutes Zone 1"
CCI12,Cycling Cruise Intervals 12,bike,moderate,60 min,60,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI12.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 2 x (10 minutes Zone 3/4 minutes Zone 1) 12 minutes Zone 1"
CCI13,Cycling Cruise Intervals 13,bike,moderate,90 min,90,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI13.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 4 x (6 minutes Zone 3/3 minutes Zone 1) 29 minutes Zone 2, 5 minutes Zone 1"
CCI14,Cycling Cruise Intervals 14,bike,moderate,90 min,90,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI14.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 4 x (7 minutes Zone 3/3 minutes Zone 1) 25 minutes Zone 2, 5 minutes Zone 1"
CCI15,Cycling Cruise Intervals 15,bike,moderate,90 min,90,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI15.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 4 x (8 minutes Zone 3/3 minutes Zone 1) 21 minutes Zone 2, 5 minutes Zone 1"
CCI16,Cycling Cruise Intervals 16,bike,moderate,90 min,90,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI16.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 4 x (9 minutes Zone 3/3 minutes Zone 1) 17 minutes Zone 2, 5 minutes Zone 1"
CCI17,Cycling Cruise Intervals 17,bike,moderate,30 min,30,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI17.FIT,"10 minutes Zone 1, 3 x (3 minutes Zone 3/2 minutes Zone 1) 5 minutes Zone 1"
CCI18,Cycling Cruise Intervals 18,bike,moderate,105 min,105,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI18.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 4 x (6 minutes Zone 3/3 minutes Zone 1) 44 minutes Zone 2, 5 minutes Zone 1"
CCI19,Cycling Cruise Intervals 19,bike,moderate,120 min,120,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI19.FIT,"20 minutes Zone 1, 10 minutes Zone 2, 4 x (6 minutes Zone 3/3 minutes Zone 1) 49 minutes Zone 2, 5 minutes Zone 1"
CCI2,Cycling Cruise Intervals 2,bike,moderate,60 min,60,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI2.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (5 minutes Zone 3/3 minutes Zone 1) 13 minutes Zone 2, 5 minutes Zone 1"
CCI20,Cycling Cruise Intervals 20,bike,moderate,90 min,90,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI20.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (5 minutes Zone 3/3 minutes Zone 1) 43 minutes Zone 2, 5 minutes Zone 1"
CCI21,Cycling Cruise Intervals 21,bike,moderate,90 min,90,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI21.FIT,"10 minutes Zone 1, 10 minutes Zone 2, 2 x (10 minutes Zone 3/4 minutes Zone 1) 10 minutes Zone 2, 32 minutes Zone 1"
CCI22,Cycling Cruise Intervals 22,bike,moderate,90 min,90,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI22.FIT,"10 minutes Zone 1, 20 minutes Zone 2, 3 x (3 minutes Zone 3/2 minutes Zone 1) 30 minutes Zone 2, 15 minutes Zone 1"
CCI23,Cycling Cruise Intervals 23,bike,moderate,91 min,91,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI23.FIT,"10 minutes Zone 1, 20 minutes Zone 2, 3 x (5 minutes Zone 3/2 minutes Zone 1) 30 minutes Zone 2, 10 minutes Zone 1"
CCI24,Cycling Cruise Intervals 24,bike,moderate,120 min,120,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI24.FIT,"10 minutes Zone 1, 20 minutes Zone 2, 3 x (5 minutes Zone 3/2 minutes Zone 1) 60 minutes Zone 2, 10 minutes Zone 1"
CCI3,Cycling Cruise Intervals 3,bike,moderate,61 min,61,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI3.FIT,"5 minutes Zone 1, 10 minutes Zone 2, 4 x (6 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
CCI4,Cycling Cruise Intervals 4,bike,moderate,65 min,65,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI4.FIT,"5 minutes Zone 1, 10 minutes Zone 2, 4 x (7 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
CCI5,Cycling Cruise Intervals 5,bike,moderate,64 min,64,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI5.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (8 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
CCI6,Cycling Cruise Intervals 6,bike,moderate,72 min,72,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI6.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (10 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
CCI7,Cycling Cruise Intervals 7,bike,moderate,80 min,80,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI7.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (12 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
CCI8,Cycling Cruise Intervals 8,bike,moderate,92 min,92,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI8.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 4 x (15 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
CCI9,Cycling Cruise Intervals 9,bike,moderate,95 min,95,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CCI9.FIT,"5 minutes Zone 1, 5 minutes Zone 2, 5 x (12 minutes Zone 3/3 minutes Zone 1) 5 minutes Zone 2, 5 minutes Zone 1"
CF1,Cycling Foundation 1,bike,low,20 min,20,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF1.FIT,"5 minutes in Zone 1, 15 minutes Zone 2"
CF10,Cycling Foundation 10,bike,low,60 min,60,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF10.FIT,"15 minutes in Zone 1, 35 minutes Zone 2, 10 minutes Zone 1"
CF11,Cycling Foundation 11,bike,low,90 min,90,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF11.FIT,"30 minutes in Zone 1, 50 minutes Zone 2, 10 minutes Zone 1"
CF12,Cycling Foundation 12,bike,low,105 min,105,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF12.FIT,"40 minutes in Zone 1, 55 minutes Zone 2, 10 minutes Zone 1"
CF13,Cycling Foundation 13,bike,low,120 min,120,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF13.FIT,"50 minutes in Zone 1, 60 minutes Zone 2, 10 minutes Zone 1"
CF14,Cycling Foundation 14,bike,low,135 min,135,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF14.FIT,"60 minutes in Zone 1, 65 minutes Zone 2, 10 minutes Zone 1"
CF15,Cycling Foundation 15,bike,low,150 min,150,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF15.FIT,"70 minutes in Zone 1, 70 minutes Zone 2, 10 minutes Zone 1"
CF16,Cycling Foundation 16,bike,low,165 min,165,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF16.FIT,"80 minutes in Zone 1, 75 minutes Zone 2, 10 minutes Zone 1"
CF17,Cycling Foundation 17,bike,low,180 min,180,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF17.FIT,"90 minutes in Zone 1, 80 minutes Zone 2, 10 minutes Zone 1"
CF18,Cycling Foundation 18,bike,low,195 min,195,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF18.FIT,"100 minutes in Zone 1, 85 minutes Zone 2, 10 minutes Zone 1"
CF19,Cycling Foundation 19,bike,low,210 min,210,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF19.FIT,"110 minutes in Zone 1, 90 minutes Zone 2, 10 minutes Zone 1"
CF2,Cycling Foundation 2,bike,low,25 min,25,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF2.FIT,"5 minutes in Zone 1, 15 minutes Zone 2, 5 minutes Zone 1"
CF20,Cycling Foundation 20,bike,low,225 min,225,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF20.FIT,"120 minutes in Zone 1, 95 minutes Zone 2, 10 minutes Zone 1"
CF21,Cycling Foundation 21,bike,low,240 min,240,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF21.FIT,"130 minutes in Zone 1, 100 minutes Zone 2, 10 minutes Zone 1"
CF22,Cycling Foundation 22,bike,low,270 min,270,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF22.FIT,"140 minutes in Zone 1, 120 minutes Zone 2, 10 minutes Zone 1"
CF23,Cycling Foundation 23,bike,low,300 min,300,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF23.FIT,"150 minutes in Zone 1, 140 minutes Zone 2, 10 minutes Zone 1"
CF24,Cycling Foundation 24,bike,low,330 min,330,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF24.FIT,"160 minutes in Zone 1, 160 minutes Zone 2, 10 minutes Zone 1"
CF25,Cycling Foundation 25,bike,low,360 min,360,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF25.FIT,"170 minutes in Zone 1, 180 minutes Zone 2, 10 minutes Zone 1"
CF26,Cycling Foundation 26,bike,low,75 min,75,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF26.FIT,"5 minutes in Zone 1, 65 minutes Zone 2, 5 minutes Zone 1"
CF3,Cycling Foundation 3,bike,low,30 min,30,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF3.FIT,"5 minutes in Zone 1, 20 minutes Zone 2, 5 minutes Zone 1"
CF4,Cycling Foundation 4,bike,low,35 min,35,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF4.FIT,"5 minutes in Zone 1, 25 minutes Zone 2, 5 minutes Zone 1"
CF5,Cycling Foundation 5,bike,low,40 min,40,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF5.FIT,"5 minutes in Zone 1, 30 minutes Zone 2, 5 minutes Zone 1"
CF6,Cycling Foundation 6,bike,low,45 min,45,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF6.FIT,"5 minutes in Zone 1, 35 minutes Zone 2, 5 minutes Zone 1"
CF7,Cycling Foundation 7,bike,low,50 min,50,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF7.FIT,"5 minutes in Zone 1, 40 minutes Zone 2, 5 minutes Zone 1"
CF8,Cycling Foundation 8,bike,low,55 min,55,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF8.FIT,"5 minutes in Zone 1, 45 minutes Zone 2, 5 minutes Zone 1"
CF9,Cycling Foundation 9,bike,low,60 min,60,2,Zone 1-2,https://www.8020endurance.com/wp-content/library/bike/CF9.FIT,"5 minutes in Zone 1, 50 minutes Zone 2, 5 minutes Zone 1"
CFF1,Cycling Fast Finish 1,bike,moderate,25 min,25,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF1.FIT,"5 minutes Zone 1, 15 minutes Zone 2, 5 minutes Zone 3"
CFF10,Cycling Fast Finish 10,bike,moderate,65 min,65,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF10.FIT,"5 minutes Zone 1, 45 minutes Zone 2, 15 minutes Zone 3"
CFF11,Cycling Fast Finish 11,bike,moderate,75 min,75,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF11.FIT,"5 minutes Zone 1, 55 minutes Zone 2, 15 minutes Zone 3"
CFF12,Cycling Fast Finish 12,bike,moderate,90 min,90,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF12.FIT,"5 minutes Zone 1, 70 minutes Zone 2, 15 minutes Zone 3"
CFF13,Cycling Fast Finish 13,bike,moderate,105 min,105,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF13.FIT,"5 minutes Zone 1, 85 minutes Zone 2, 15 minutes Zone 3"
CFF14,Cycling Fast Finish 14,bike,moderate,120 min,120,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF14.FIT,"5 minutes Zone 1, 100 minutes Zone 2, 15 minutes Zone 3"
CFF15,Cycling Fast Finish 15,bike,moderate,135 min,135,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF15.FIT,"5 minutes Zone 1, 115 minutes Zone 2, 15 minutes Zone 3"
CFF16,Cycling Fast Finish 16,bike,moderate,150 min,150,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF16.FIT,"5 minutes Zone 1, 130 minutes Zone 2, 15 minutes Zone 3"
CFF17,Cycling Fast Finish 17,bike,moderate,165 min,165,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF17.FIT,"5 minutes Zone 1, 145 minutes Zone 2, 15 minutes Zone 3"
CFF18,Cycling Fast Finish 18,bike,moderate,180 min,180,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF18.FIT,"5 minutes Zone 1, 160 minutes Zone 2, 15 minutes Zone 3"
CFF19,Cycling Fast Finish 19,bike,moderate,195 min,195,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF19.FIT,"5 minutes Zone 1, 175 minutes Zone 2, 15 minutes Zone 3"
CFF2,Cycling Fast Finish 2,bike,moderate,30 min,30,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF2.FIT,"5 minutes Zone 1, 20 minutes Zone 2, 5 minutes Zone 3"
CFF20,Cycling Fast Finish 20,bike,moderate,210 min,210,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF20.FIT,"5 minutes Zone 1, 190 minutes Zone 2, 15 minutes Zone 3"
CFF21,Cycling Fast Finish 21,bike,moderate,225 min,225,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF21.FIT,"5 minutes Zone 1, 205 minutes Zone 2, 15 minutes Zone 3"
CFF22,Cycling Fast Finish 22,bike,moderate,240 min,240,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF22.FIT,"5 minutes Zone 1, 220 minutes Zone 2, 15 minutes Zone 3"
CFF23,Cycling Fast Finish 23,bike,moderate,270 min,270,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF23.FIT,"5 minutes Zone 1, 250 minutes Zone 2, 15 minutes Zone 3"
CFF24,Cycling Fast Finish 24,bike,moderate,300 min,300,3,Zone 1-3,https://www.8020endurance.com/wp-content/library/bike/CFF24.FIT,"5 minutes Zone 1, 280 minutes Zone 2, 15 minutes Zone 3"
